x;y
23.4371;-24.9665
24.4501;-24.4854
25.2023;-24.0583
25.3153;-24.0151
25.8763;-23.6684
26.6042;-23.1597
27.2265;-22.6848
27.2451;-22.6542
27.4953;-22.4586
27.9283;-22.0845
28.538;-21.4967
29.2481;-20.7419
29.6786;-20.2344
30.0565;-19.7547
30.7436;-18.7795
31.2068;-18.0205
31.6986;-17.1294
32.1261;-16.2391
32.4889;-15.4186
32.9123;-14.2696
33.1924;-13.3524
33.4064;-12.5051
33.5898;-11.6656
33.7241;-10.8661
33.7942;-10.327
33.8649;-9.6095
33.9001;-8.92223
33.9028;-7.86928
33.8761;-7.28824
33.8109;-6.42876
33.6967;-5.47469
33.6377;-5.08078
33.4376;-4.03291
33.0712;-2.5063
32.8228;-1.62068
32.5426;-0.709621
32.3048;-0.0124217
31.8584;1.09839
31.5394;1.79843
30.9594;2.95067
30.5359;3.74481
29.6986;5.2266
29.6598;5.27202
29.1246;6.19782
28.0507;7.91673
27.9246;8.14117
27.3067;9.10621
27.2275;9.25176
25.9266;11.2506
24.4226;13.4379
23.4998;14.6773
23.4767;14.6894
23.3114;14.9106
23.2202;15.0041
22.7005;15.6431
