x;y
20.3209;18.4565
20.3209;18.4565
20.3209;18.4565
20.3209;18.4565
20.3209;18.4565
20.3209;18.4565
20.3207;18.4564
20.3209;18.4565
20.3209;18.4565
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3207;18.4564
20.3208;18.4565
20.3208;18.4566
20.3208;18.4566
20.3208;18.4565
20.3208;18.4565
20.3208;18.4565
20.3208;18.4565
20.3208;18.4566
20.3208;18.4566
20.3208;18.4565
20.3208;18.4565
20.3208;18.4565
20.3208;18.4566
20.3208;18.4566
20.3208;18.4566
20.3208;18.4566
20.3208;18.4566
20.3208;18.4566
20.3208;18.4566
20.3208;18.4566
20.3208;18.4566
20.3208;18.4566
20.3208;18.4566
20.3208;18.4566
20.3208;18.4566
20.3208;18.4566
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3207;18.4676
20.3207;18.4676
20.3207;18.4676
20.3207;18.4676
20.3207;18.4676
20.3207;18.4676
20.3207;18.4676
20.3207;18.4676
20.3207;18.4676
20.3207;18.4676
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3207;18.4675
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
20.3208;18.4677
